TS time deltat Energy E1 E2 E3 Dissipation Trd volume area area_n area_gn area_gp Lat_area Epress E_tension1 E_tension2 E_tension3 Ela_small P_tension1 P_tension2 P_tension3 pressure Zmax stress strain Diss1 Diss2 Diss3
5 5.10204e-05 1.05154e-05 4.79799e-05 7.85978e-06 7.91787e-06 3.22022e-05 36.8918 0.00143973 0.000687094 1.45172 1.4517 1.45172 1.45172 1.10329 -0.00419272 7.25845 7.25845 5.51644 0 2.74204 2.75094 -0.645978 -6.10442 1 0 0 3.28748e-05 3.28632e-05 8.05078e-05
10 0.00010467 1.10573e-05 0.000135354 2.73605e-05 2.65452e-05 8.14482e-05 34.9742 0.00143976 0.00137419 1.45176 1.4517 1.45176 1.45176 1.10328 -0.00871231 7.25829 7.25829 5.51644 0 4.31892 4.34664 -1.19028 -6.34538 1 0 0 0.000114783 0.000109861 0.000203642
15 0.000161085 1.16271e-05 0.000245524 5.53775e-05 5.25004e-05 0.000137646 32.7714 0.00143979 0.00206128 1.45182 1.4517 1.45182 1.45182 1.10326 -0.0133604 7.25804 7.25804 5.51643 0 5.55847 5.60343 -1.64582 -6.4902 1 0 0 0.000233036 0.00021666 0.000344198
20 0.000220407 1.22263e-05 0.000373647 9.07248e-05 8.43129e-05 0.000198609 30.5242 0.00143984 0.00274837 1.45189 1.4517 1.45189 1.45189 1.10324 -0.0180836 7.25771 7.25771 5.51643 0 6.60559 6.66796 -2.04253 -6.5916 1 0 0 0.000383018 0.000346928 0.000496734
25 0.000282786 1.28564e-05 0.000517485 0.000132912 0.000121135 0.000263438 28.3164 0.0014399 0.00343547 1.45198 1.4517 1.45198 1.45198 1.10321 -0.0228617 7.25731 7.2573 5.51642 0 7.51892 7.59953 -2.39521 -6.66976 1 0 0 0.000563031 0.000496939 0.000659038
30 0.00034838 1.3519e-05 0.000676037 0.000181828 0.000162458 0.000331752 26.1837 0.00143997 0.00412256 1.45209 1.4517 1.45209 1.45209 1.10317 -0.0276892 7.25682 7.2568 5.51641 0 8.33107 8.43094 -2.71295 -6.73498 1 0 0 0.000772999 0.000664377 0.000830207
35 0.000417354 1.42157e-05 0.000849089 0.000237622 0.00020801 0.000403457 24.1421 0.00144005 0.00480966 1.45221 1.4517 1.45221 1.45221 1.10313 -0.0325688 7.25626 7.25623 5.51641 0 9.0625 9.18261 -3.00172 -6.7934 1 0 0 0.00101396 0.000847917 0.00101007
40 0.000489883 1.49483e-05 0.00103701 0.000300635 0.000257709 0.000478662 22.1991 0.00144014 0.00549675 1.45235 1.4517 1.45235 1.45235 1.10309 -0.0375085 7.25562 7.25558 5.5164 0 9.72613 9.86738 -3.26528 -6.84905 1 0 0 0.00128781 0.00104701 0.00119896
45 0.00056615 1.57187e-05 0.00124061 0.000371355 0.000311623 0.000557634 20.3584 0.00144025 0.00618384 1.45251 1.4517 1.45251 1.45251 1.10304 -0.04252 7.25491 7.25485 5.51639 0 10.3295 10.4926 -3.50573 -6.90473 1 0 0 0.00159711 0.00126173 0.00139764
50 0.000646347 1.65288e-05 0.00146109 0.000450373 0.000369938 0.000640775 18.6227 0.00144036 0.00687094 1.45268 1.4517 1.45269 1.45268 1.10298 -0.0476175 7.25411 7.25403 5.51639 0 10.8762 11.0617 -3.72394 -6.96257 1 0 0 0.00194489 0.00149262 0.0016072
55 0.000730678 1.73806e-05 0.00169987 0.000538347 0.000432926 0.000728593 16.9935 0.00144049 0.00755803 1.45288 1.4517 1.45288 1.45287 1.10291 -0.0528175 7.25322 7.25312 5.51638 0 11.3674 11.5756 -3.92004 -7.02417 1 0 0 0.00233451 0.0017406 0.00182903
60 0.000819354 1.82763e-05 0.00195857 0.000635972 0.000500913 0.000821683 15.4718 0.00144063 0.00824513 1.45309 1.4517 1.45309 1.45308 1.10284 -0.0581381 7.25226 7.25213 5.51637 0 11.803 12.034 -4.09385 -7.09081 1 0 0 0.00276954 0.00200681 0.00206474
65 0.0009126 1.92182e-05 0.00223892 0.000743952 0.000574264 0.000920701 14.0578 0.00144078 0.00893222 1.45332 1.4517 1.45332 1.45331 1.10276 -0.0635984 7.2512 7.25104 5.51636 0 12.1824 12.4361 -4.24518 -7.16351 1 0 0 0.00325362 0.00229257 0.00231611
70 0.00101065 2.02086e-05 0.00254269 0.000862994 0.000653355 0.00102634 12.7503 0.00144094 0.00961931 1.45357 1.4517 1.45357 1.45356 1.10268 -0.0692183 7.25007 7.24987 5.51635 0 12.5055 12.7816 -4.37407 -7.24307 1 0 0 0.0037904 0.00259925 0.00258504
75 0.00111376 2.12501e-05 0.0028717 0.00099379 0.000738571 0.00113933 11.5469 0.00144111 0.0103064 1.45383 1.4517 1.45384 1.45383 1.10259 -0.0750179 7.24884 7.2486 5.51634 0 12.7728 13.0709 -4.48089 -7.33011 1 0 0 0.00438349 0.00292831 0.00287347
80 0.00122218 2.23452e-05 0.00322771 0.00113702 0.000830293 0.0012604 10.444 0.0014413 0.0109935 1.45412 1.4517 1.45413 1.45411 1.10249 -0.0810171 7.24753 7.24724 5.51633 0 12.9857 13.3051 -4.56635 -7.42507 1 0 0 0.00503649 0.00328123 0.00318341
85 0.00133618 2.34968e-05 0.00361252 0.00129336 0.000928894 0.00139026 9.43724 0.0014415 0.0116806 1.45443 1.4517 1.45444 1.45442 1.10239 -0.0872356 7.24613 7.24579 5.51632 0 13.1462 13.4863 -4.63148 -7.52828 1 0 0 0.00575291 0.00365947 0.00351683
90 0.00145606 2.47077e-05 0.00402784 0.00146346 0.00103475 0.00152963 8.52107 0.00144171 0.0123677 1.45475 1.4517 1.45477 1.45474 1.10227 -0.093692 7.24465 7.24425 5.51631 0 13.2573 13.6172 -4.67753 -7.63991 1 0 0 0.00653623 0.00406456 0.00387572
95 0.00158212 2.5981e-05 0.00447541 0.00164798 0.00114822 0.00167922 7.6896 0.00144194 0.0130548 1.4551 1.4517 1.45512 1.45508 1.10216 -0.100404 7.24309 7.24262 5.51629 0 13.3222 13.701 -4.70595 -7.76004 1 0 0 0.00738991 0.00449803 0.00426201
100 0.00171468 2.732e-05 0.00495692 0.00184755 0.00126967 0.0018397 6.93663 0.00144218 0.0137419 1.45546 1.4517 1.45548 1.45545 1.10203 -0.107389 7.24144 7.24089 5.51628 0 13.3445 13.7413 -4.71822 -7.88867 1 0 0 0.00831738 0.00496145 0.0046776
105 0.00185407 2.87279e-05 0.00547406 0.00206283 0.00139948 0.00201174 6.25587 0.00144243 0.014429 1.45585 1.4517 1.45587 1.45583 1.1019 -0.114663 7.23972 7.23908 5.51627 0 13.328 13.7416 -4.71588 -8.02571 1 0 0 0.00932207 0.00545644 0.00512435
