TS time deltat Energy Dissipation Trd volume area area_n Epress E1 E_tension1 P_tension1 E_elastic pressure Zmax stress strain Diss1 Diss2
5 0.000510204 0.000105154 1.10993e-07 0.425268 0.000256101 0.000435684 0.784629 0.784623 -0.000524566 3.2091e-06 0 0.136298 8.73222e-09 -1.20454 1 0 0 2.57754e-08 4.57899e-07
10 0.0010467 0.000110573 1.21289e-07 0.407384 0.000256105 0.000871367 0.784642 0.784623 -0.00116958 6.76066e-06 0 0.235837 9.32326e-09 -1.34358 1 0 0 2.93493e-08 9.92215e-07
15 0.00161085 0.000116271 1.58756e-07 0.381362 0.000256111 0.00130705 0.784662 0.784623 -0.00190536 1.05742e-05 0 0.324324 1.14882e-08 -1.46003 1 0 0 4.22951e-08 1.58141e-06
20 0.00220407 0.000122263 2.52266e-07 0.352143 0.000256119 0.00174273 0.784689 0.784623 -0.00272643 1.48029e-05 0 0.406221 1.69193e-08 -1.56776 1 0 0 7.44581e-08 2.24414e-06
25 0.00282786 0.000128564 4.42712e-07 0.322267 0.00025613 0.00217842 0.784724 0.784623 -0.00363291 1.95863e-05 0 0.481861 2.80271e-08 -1.67214 1 0 0 1.39704e-07 2.99877e-06
30 0.0034838 0.00013519 7.83552e-07 0.293266 0.000256143 0.0026141 0.784766 0.784623 -0.00462721 2.50373e-05 0 0.55081 4.79766e-08 -1.77581 1 0 0 2.56078e-07 3.86059e-06
35 0.00416935 0.000139328 1.34116e-06 0.275352 0.000256158 0.00304979 0.784816 0.784623 -0.005758 3.13174e-05 0 0.626382 8.07057e-08 -1.89516 1 0 0 4.45931e-07 4.85296e-06
40 0.0048802 0.000146508 2.19427e-06 0.250165 0.000256176 0.00348547 0.784874 0.784623 -0.0069468 3.84224e-05 0 0.681732 1.30892e-07 -2.00174 1 0 0 7.35726e-07 5.97461e-06
45 0.0056277 0.000154059 3.43317e-06 0.226513 0.000256196 0.00392115 0.784939 0.784623 -0.00822977 4.62908e-05 0 0.730789 2.03919e-07 -2.10912 1 0 0 1.15568e-06 7.2162e-06
50 0.00641371 0.000161998 5.16118e-06 0.204852 0.000256219 0.00435684 0.785013 0.784623 -0.00961182 5.49856e-05 0 0.773603 3.05945e-07 -2.21822 1 0 0 1.74039e-06 8.58692e-06
55 0.00724023 0.000170347 7.49374e-06 0.185161 0.000256244 0.00479252 0.785094 0.784623 -0.0110961 6.45298e-05 0 0.810513 4.43851e-07 -2.32926 1 0 0 2.52844e-06 1.009e-05
60 0.00810935 0.000179126 1.05583e-05 0.167323 0.000256271 0.0052282 0.785182 0.784623 -0.0126852 7.49345e-05 0 0.841931 6.25239e-07 -2.4423 1 0 0 3.56239e-06 1.1727e-05
65 0.00902325 0.000188357 1.44944e-05 0.15119 0.000256301 0.00566389 0.785279 0.784623 -0.0143814 8.62057e-05 0 0.868278 8.58429e-07 -2.55732 1 0 0 4.88879e-06 1.34986e-05
70 0.00998426 0.000198065 1.94535e-05 0.136609 0.000256333 0.00609957 0.785383 0.784623 -0.0161871 9.83465e-05 0 0.889969 1.15245e-06 -2.6743 1 0 0 6.55808e-06 1.5405e-05
75 0.0109948 0.000208272 2.55987e-05 0.123436 0.000256368 0.00653525 0.785495 0.784623 -0.0181041 0.000111358 0 0.907393 1.51705e-06 -2.79317 1 0 0 8.62459e-06 1.74463e-05
80 0.0120574 0.000219005 3.31052e-05 0.111535 0.000256405 0.00697094 0.785615 0.784623 -0.0201344 0.000125242 0 0.920918 1.96267e-06 -2.9139 1 0 0 1.11465e-05 1.96223e-05
85 0.0131748 0.000230292 4.216e-05 0.100783 0.000256444 0.00740662 0.785743 0.784623 -0.0222799 0.000139998 0 0.930886 2.50046e-06 -3.03643 1 0 0 1.41859e-05 2.19329e-05
85 0.0131748 0.000227989 4.216e-05 0 0.000256444 0.00740662 0.785743 0.784623 0 0.000139989 0 0 2.50046e-06 -3.03643 1 0 0 1.41859e-05 2.19329e-05
90 0.014338 0.000239739 5.29599e-05 0.0928503 0.000256486 0.00784231 0.785878 0.784623 -0.0245799 0.000155715 0 0.94712 3.14207e-06 -3.16556 1 0 0 1.78086e-05 2.43917e-05
95 0.0155611 0.000252094 6.57175e-05 0.0839554 0.00025653 0.00827799 0.786021 0.784623 -0.0269621 0.000172231 0 0.950907 3.90033e-06 -3.29144 1 0 0 2.2084e-05 2.69728e-05
100 0.016837 0.000262435 8.06516e-05 0.0773515 0.000256577 0.00871367 0.786171 0.784623 -0.0295014 0.000189688 0 0.961674 4.78815e-06 -3.42328 1 0 0 2.70853e-05 2.96983e-05
105 0.0181759 0.000275959 9.79984e-05 0.0699567 0.000256626 0.00914936 0.78633 0.784623 -0.0321257 0.00020795 0 0.960315 5.81977e-06 -3.55228 1 0 0 3.28895e-05 3.25463e-05
110 0.0195839 0.000290181 0.000118002 0.0632319 0.000256677 0.00958504 0.786496 0.784623 -0.034872 0.000227065 0 0.95676 7.00972e-06 -3.68275 1 0 0 3.95768e-05 3.5524e-05
115 0.0210644 0.000305136 0.000140917 0.0571457 0.000256731 0.0100207 0.78667 0.784623 -0.0377427 0.000247046 0 0.951209 8.3732e-06 -3.81476 1 0 0 4.72309e-05 3.86328e-05
115 0.0210644 0.000302085 0.000143378 0.0140023 0.000256737 0.0100643 0.786687 0.784623 -0.0190831 0.00024908 0 0.473922 8.52031e-06 -3.81476 1 0 0 4.72309e-05 3.86328e-05
115 0.0210644 0.000299064 0.000140917 0 0.000256731 0.0100207 0.78667 0.784623 0 0.000247023 0 0 8.3732e-06 -3.81476 1 0 0 4.72309e-05 3.86328e-05
120 0.0225902 0.000314476 0.000167003 0.053708 0.000256787 0.0104564 0.786851 0.784623 -0.0408162 0.000268068 0 0.963042 9.9252e-06 -3.95574 1 0 0 5.59396e-05 4.19005e-05
125 0.0241947 0.000330683 0.000196552 0.0485827 0.000256846 0.0108921 0.78704 0.784623 -0.0439416 0.000289804 0 0.953888 1.16839e-05 -4.0906 1 0 0 6.57938e-05 4.52741e-05
130 0.0258819 0.000347725 0.000229848 0.043914 0.000256906 0.0113278 0.787237 0.784623 -0.0471946 0.000312385 0 0.943295 1.3666e-05 -4.22683 1 0 0 7.68868e-05 4.87744e-05
135 0.027656 0.000365645 0.00026719 0.0396882 0.000256969 0.0117635 0.787441 0.784623 -0.0505777 0.000335827 0 0.931412 1.58893e-05 -4.36451 1 0 0 8.93156e-05 5.24028e-05
140 0.0295215 0.000384489 0.00030889 0.0358682 0.000257035 0.0121991 0.787653 0.784623 -0.0540926 0.000360131 0 0.918391 1.83723e-05 -4.50365 1 0 0 0.00010318 5.61592e-05
145 0.0314832 0.000404304 0.000355268 0.032416 0.000257103 0.0126348 0.787873 0.784623 -0.0577406 0.000385296 0 0.904371 2.11342e-05 -4.64422 1 0 0 0.000118584 6.00426e-05
150 0.033546 0.00042514 0.000406656 0.0292962 0.000257173 0.0130705 0.7881 0.784623 -0.0615231 0.00041132 0 0.889483 2.41949e-05 -4.78621 1 0 0 0.000135631 6.40521e-05
155 0.0357062 0.000442579 0.000463392 0.0269823 0.000257246 0.0135062 0.788335 0.784623 -0.0654754 0.00043826 0 0.882668 2.7574e-05 -4.93216 1 0 0 0.000154432 6.81963e-05
160 0.0379643 0.000465388 0.000525836 0.0244127 0.000257321 0.0139419 0.788578 0.784623 -0.0695323 0.000466018 0 0.866234 3.12936e-05 -5.07695 1 0 0 0.000175099 7.24587e-05
